qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sscinames	stitle	sblastnames
comp50531_c0_seq1	sp|O57380|ADH8_PELPE	65.91	132	45	0	4	399	228	359	3e-54	 180	N/A	NADP-dependent alcohol dehydrogenase OS=Pelophylax perezi GN=ADH8 PE=1 SV=3	N/A
comp50623_c0_seq1	sp|P14381|YTX2_XENLA	35.71	70	45	0	10	219	449	518	1e-06	49.3	N/A	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1	N/A
comp50624_c0_seq1	sp|Q9GMB0|RPN1_PIG	92.31	78	6	0	2	235	411	488	6e-44	 153	N/A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Sus scrofa GN=RPN1 PE=1 SV=1	N/A
comp50713_c0_seq1	sp|P09954|CBPA1_PIG	77.92	77	17	0	3	233	341	417	2e-36	 132	N/A	Carboxypeptidase A1 OS=Sus scrofa GN=CPA1 PE=1 SV=2	N/A
comp50763_c0_seq1	sp|Q02020|FIBB_CHICK	78.43	153	33	0	1	459	273	425	4e-84	 261	N/A	Fibrinogen beta chain (Fragment) OS=Gallus gallus GN=FGB PE=1 SV=1	N/A
comp50784_c0_seq1	sp|Q9G2S5|CYB_POLSP	76.16	172	41	0	2	517	173	344	2e-67	 216	N/A	Cytochrome b OS=Polyodon spathula GN=mt-cyb PE=3 SV=1	N/A
comp50784_c0_seq2	sp|P00160|CYB_XENLA	82.76	87	15	0	2	262	174	260	2e-35	 129	N/A	Cytochrome b OS=Xenopus laevis GN=mt-cyb PE=3 SV=2	N/A
comp50796_c0_seq1	sp|P27952|RS2_RAT	95.52	67	3	0	133	333	54	120	3e-37	 133	N/A	40S ribosomal protein S2 OS=Rattus norvegicus GN=Rps2 PE=1 SV=1	N/A
comp50837_c0_seq1	sp|Q0VAF6|SYCN_HUMAN	56.00	50	22	0	3	152	85	134	3e-14	68.2	N/A	Syncollin OS=Homo sapiens GN=SYCN PE=2 SV=1	N/A
comp50851_c0_seq1	sp|Q35539|COX3_PETMA	78.70	108	23	0	2	325	150	257	1e-45	 154	N/A	Cytochrome c oxidase subunit 3 OS=Petromyzon marinus GN=MT-CO3 PE=3 SV=1	N/A
comp50851_c0_seq2	sp|Q35539|COX3_PETMA	77.08	96	22	0	2	289	150	245	7e-46	 154	N/A	Cytochrome c oxidase subunit 3 OS=Petromyzon marinus GN=MT-CO3 PE=3 SV=1	N/A
comp50859_c0_seq1	sp|Q98TF5|RL39_CHICK	100.00	38	0	0	24	137	14	51	7e-19	79.3	N/A	60S ribosomal protein L39 OS=Gallus gallus GN=RPL39 PE=3 SV=1	N/A
comp50878_c0_seq1	sp|O95478|NSA2_HUMAN	93.22	59	4	0	48	224	37	95	2e-30	 113	N/A	Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1	N/A
comp50878_c0_seq2	sp|Q3SX11|NSA2_BOVIN	94.19	86	5	0	6	263	1	86	1e-41	 142	N/A	Ribosome biogenesis protein NSA2 homolog OS=Bos taurus GN=NSA2 PE=2 SV=1	N/A
comp50880_c0_seq1	sp|O54758|ALMS_TAMSI	58.21	67	28	0	24	224	346	412	1e-18	82.4	N/A	Alpha-1-antitrypsin-like protein CM55-MS OS=Tamias sibiricus PE=2 SV=1	N/A
comp50880_c0_seq2	sp|O54758|ALMS_TAMSI	52.99	117	55	0	3	353	296	412	5e-32	 121	N/A	Alpha-1-antitrypsin-like protein CM55-MS OS=Tamias sibiricus PE=2 SV=1	N/A
comp50927_c0_seq1	sp|P70059|TRY2_XENLA	79.63	54	11	0	3	164	191	244	9e-24	96.7	N/A	Trypsin OS=Xenopus laevis PE=2 SV=1	N/A
comp50961_c0_seq1	sp|Q02379|NDUS5_BOVIN	56.73	104	45	0	45	356	1	104	2e-41	 139	N/A	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Bos taurus GN=NDUFS5 PE=1 SV=2	N/A
comp50967_c0_seq1	sp|P22797|ADH1_PELPE	63.12	141	52	0	1	423	40	180	5e-45	 156	N/A	Alcohol dehydrogenase 1 OS=Pelophylax perezi PE=1 SV=1	N/A
comp50967_c0_seq2	sp|P25406|ADH1B_UROHA	59.70	67	26	1	1	201	40	105	2e-08	53.5	N/A	Alcohol dehydrogenase 1B OS=Uromastyx hardwickii PE=1 SV=2	N/A
comp50992_c0_seq1	sp|Q90YS3|RS2_ICTPU	76.92	65	15	0	2	196	213	277	2e-28	 107	N/A	40S ribosomal protein S2 OS=Ictalurus punctatus GN=rps2 PE=2 SV=1	N/A
comp50992_c0_seq2	sp|Q90YS3|RS2_ICTPU	78.46	65	14	0	2	196	213	277	7e-29	 109	N/A	40S ribosomal protein S2 OS=Ictalurus punctatus GN=rps2 PE=2 SV=1	N/A
comp51000_c0_seq1	sp|P98088|MUC5A_HUMAN	40.22	92	54	1	3	275	4931	5022	2e-14	73.6	N/A	Mucin-5AC (Fragments) OS=Homo sapiens GN=MUC5AC PE=1 SV=3	N/A
comp51013_c0_seq1	sp|P00160|CYB_XENLA	77.06	109	25	0	30	356	246	354	8e-37	 134	N/A	Cytochrome b OS=Xenopus laevis GN=mt-cyb PE=3 SV=2	N/A
comp51049_c0_seq1	sp|P16674|CYB_LITCT	82.49	217	38	0	1	651	6	222	9e-123	 360	N/A	Cytochrome b OS=Lithobates catesbeiana GN=mt-cyb PE=3 SV=2	N/A
comp51088_c0_seq2	sp|P05386|RLA1_HUMAN	75.44	114	27	1	26	364	1	114	1e-31	 114	N/A	60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	N/A
comp51103_c0_seq1	sp|P92669|NU5M_MACRO	67.48	163	53	0	1	489	143	305	2e-59	 200	N/A	NADH-ubiquinone oxidoreductase chain 5 OS=Macropus robustus GN=MT-ND5 PE=3 SV=1	N/A
comp51103_c0_seq2	sp|P92669|NU5M_MACRO	70.31	192	57	0	1	576	143	334	3e-78	 251	N/A	NADH-ubiquinone oxidoreductase chain 5 OS=Macropus robustus GN=MT-ND5 PE=3 SV=1	N/A
comp51108_c0_seq1	sp|P00419|COX3_XENLA	77.97	118	26	0	20	373	46	163	2e-45	 154	N/A	Cytochrome c oxidase subunit 3 OS=Xenopus laevis GN=mt-co3 PE=3 SV=1	N/A
comp51115_c0_seq1	sp|P18709|VITA2_XENLA	54.46	112	51	0	12	347	1414	1525	8e-37	 138	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp51115_c0_seq2	sp|P18709|VITA2_XENLA	54.05	111	51	0	2	334	1415	1525	2e-36	 137	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp51115_c0_seq3	sp|P18709|VITA2_XENLA	58.62	87	36	0	2	262	1415	1501	9e-29	 114	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp51115_c0_seq4	sp|P18709|VITA2_XENLA	59.09	88	36	0	12	275	1414	1501	4e-29	 115	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp51115_c0_seq5	sp|P18709|VITA2_XENLA	50.60	83	41	0	120	368	1443	1525	4e-22	96.3	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp51174_c0_seq1	sp|P81497|PEPA_SUNMU	65.38	130	37	1	1	390	223	344	3e-52	 176	N/A	Pepsin A OS=Suncus murinus GN=PGA PE=1 SV=2	N/A
comp51176_c0_seq1	sp|O47694|COX3_DAMLU	65.62	64	22	0	22	213	35	98	4e-21	87.8	N/A	Cytochrome c oxidase subunit 3 OS=Damaliscus lunatus GN=MT-CO3 PE=3 SV=1	N/A
comp51225_c0_seq2	sp|P07148|FABPL_HUMAN	56.67	60	25	1	29	205	68	127	2e-14	68.9	N/A	Fatty acid-binding protein, liver OS=Homo sapiens GN=FABP1 PE=1 SV=1	N/A
comp51228_c0_seq1	sp|P62083|RS7_RAT	99.42	173	1	0	1	519	22	194	8e-119	 341	N/A	40S ribosomal protein S7 OS=Rattus norvegicus GN=Rps7 PE=1 SV=1	N/A
comp51251_c0_seq1	sp|Q9TGD8|COX1_PLADA	79.38	97	20	0	16	306	51	147	2e-30	 112	N/A	Cytochrome c oxidase subunit 1 (Fragment) OS=Planctoteuthis danae GN=COI PE=3 SV=1	N/A
comp51251_c1_seq1	sp|Q36775|COX1_GADMO	92.42	66	5	0	1	198	3	68	6e-33	 122	N/A	Cytochrome c oxidase subunit 1 OS=Gadus morhua GN=mt-co1 PE=3 SV=1	N/A
comp51279_c0_seq1	sp|P47830|RL27A_XENLA	93.48	138	9	0	36	449	1	138	8e-75	 227	N/A	60S ribosomal protein L27a OS=Xenopus laevis GN=rpl27a PE=2 SV=2	N/A
comp51289_c0_seq1	sp|O55006|ROB1_RAT	26.62	154	107	4	55	504	10	161	3e-10	60.5	N/A	Protein RoBo-1 OS=Rattus norvegicus PE=1 SV=1	N/A
comp51296_c0_seq1	sp|Q4R5Q0|RL3_MACFA	90.00	110	11	0	1	330	134	243	2e-56	 186	N/A	60S ribosomal protein L3 OS=Macaca fascicularis GN=RPL3 PE=2 SV=3	N/A
comp51349_c0_seq1	sp|P67884|RL30_OPHHA	93.20	103	6	1	3	311	14	115	7e-64	 196	N/A	60S ribosomal protein L30 OS=Ophiophagus hannah GN=RPL30 PE=3 SV=2	N/A
comp51349_c0_seq2	sp|P67884|RL30_OPHHA	91.67	84	7	0	3	254	14	97	1e-50	 161	N/A	60S ribosomal protein L30 OS=Ophiophagus hannah GN=RPL30 PE=3 SV=2	N/A
comp51349_c0_seq3	sp|P67884|RL30_OPHHA	96.55	116	3	1	50	397	1	115	2e-74	 224	N/A	60S ribosomal protein L30 OS=Ophiophagus hannah GN=RPL30 PE=3 SV=2	N/A
comp51396_c0_seq1	sp|P62246|RS15A_RAT	99.12	113	1	0	2	340	18	130	3e-78	 234	N/A	40S ribosomal protein S15a OS=Rattus norvegicus GN=Rps15a PE=1 SV=2	N/A
comp51397_c0_seq1	sp|P11661|NU5M_RAT	54.29	70	32	0	2	211	426	495	4e-17	79.0	N/A	NADH-ubiquinone oxidoreductase chain 5 OS=Rattus norvegicus GN=Mtnd5 PE=3 SV=2	N/A
comp51399_c0_seq1	sp|P63174|RL38_RAT	97.14	70	2	0	39	248	1	70	5e-25	94.7	N/A	60S ribosomal protein L38 OS=Rattus norvegicus GN=Rpl38 PE=1 SV=2	N/A
comp51399_c0_seq2	sp|P63174|RL38_RAT	97.14	70	2	0	39	248	1	70	5e-25	94.7	N/A	60S ribosomal protein L38 OS=Rattus norvegicus GN=Rpl38 PE=1 SV=2	N/A
comp51401_c0_seq1	sp|O97949|MSPJ_SAGOE	32.41	108	73	0	14	337	1	108	5e-11	60.1	N/A	Beta-microseminoprotein J1 OS=Saguinus oedipus GN=MSPJ PE=3 SV=1	N/A
comp51411_c0_seq1	sp|P34188|COX1_FORLA	78.10	105	23	0	2	316	406	510	1e-36	 134	N/A	Cytochrome c oxidase subunit 1 OS=Formosania lacustris GN=mt-co1 PE=3 SV=1	N/A
comp51500_c0_seq1	sp|Q5R898|IF5A2_PONAB	85.40	137	20	0	25	435	1	137	1e-82	 246	N/A	Eukaryotic translation initiation factor 5A-2 OS=Pongo abelii GN=EIF5A2 PE=2 SV=3	N/A
comp51500_c0_seq2	sp|Q5R898|IF5A2_PONAB	94.64	56	3	0	25	192	1	56	1e-31	 114	N/A	Eukaryotic translation initiation factor 5A-2 OS=Pongo abelii GN=EIF5A2 PE=2 SV=3	N/A
comp51531_c0_seq1	sp|P35072|TCB1_CAEBR	41.10	73	43	0	396	178	201	273	1e-11	63.5	N/A	Transposable element Tcb1 transposase OS=Caenorhabditis briggsae PE=3 SV=1	N/A
comp51578_c1_seq1	sp|Q96DM1|PGBD4_HUMAN	43.37	83	46	1	1	249	324	405	3e-15	74.3	N/A	PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3	N/A
comp51582_c0_seq1	sp|Q8N8F4|YV027_HUMAN	78.57	42	9	0	126	1	72	113	6e-17	75.1	N/A	Uncharacterized protein FLJ39582 OS=Homo sapiens PE=2 SV=2	N/A
comp51594_c0_seq1	sp|Q04619|HS90B_CHICK	84.09	88	14	0	17	280	407	494	4e-43	 153	N/A	Heat shock cognate protein HSP 90-beta OS=Gallus gallus GN=HSP90AB1 PE=2 SV=1	N/A
comp51603_c0_seq1	sp|Q6IE52|MUG2_RAT	50.00	72	34	1	4	213	1017	1088	4e-16	77.8	N/A	Murinoglobulin-2 OS=Rattus norvegicus GN=Mug2 PE=1 SV=1	N/A
comp51603_c0_seq2	sp|Q5R4N8|A2MG_PONAB	46.55	116	55	3	1	327	996	1111	1e-24	 103	N/A	Alpha-2-macroglobulin OS=Pongo abelii GN=A2M PE=2 SV=1	N/A
comp51744_c0_seq1	sp|Q3SB04|CRVP_NOTSC	42.65	68	38	1	5	205	171	238	1e-09	55.5	N/A	Cysteine-rich venom protein pseudechetoxin-like OS=Notechis scutatus scutatus PE=2 SV=1	N/A
comp51747_c0_seq1	sp|P26642|EF1GA_XENLA	93.42	76	5	0	1	228	361	436	8e-43	 150	N/A	Elongation factor 1-gamma-A OS=Xenopus laevis GN=eef1g-a PE=1 SV=1	N/A
comp51754_c0_seq1	sp|P46782|RS5_HUMAN	96.50	143	5	0	2	430	29	171	1e-99	 291	N/A	40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4	N/A
comp51757_c0_seq1	sp|A8E627|ENDUD_XENLA	61.42	127	49	0	31	411	31	157	4e-50	 168	N/A	Poly(U)-specific endoribonuclease-D OS=Xenopus laevis GN=endou-d PE=2 SV=1	N/A
comp51784_c0_seq1	sp|Q7ZWJ4|RL18A_DANRE	92.05	176	14	0	17	544	1	176	1e-118	 342	N/A	60S ribosomal protein L18a OS=Danio rerio GN=rpl18a PE=2 SV=1	N/A
comp51784_c0_seq2	sp|Q7ZWJ4|RL18A_DANRE	96.00	50	2	0	21	170	127	176	2e-26	 101	N/A	60S ribosomal protein L18a OS=Danio rerio GN=rpl18a PE=2 SV=1	N/A
comp51810_c0_seq1	sp|P61354|RL27_RAT	93.75	112	7	0	3	338	25	136	4e-71	 216	N/A	60S ribosomal protein L27 OS=Rattus norvegicus GN=Rpl27 PE=2 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	40.00	105	53	3	9	308	3769	3868	2e-13	70.9	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	38.18	110	55	3	6	308	2853	2958	7e-13	69.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	38.00	100	53	2	24	308	4285	4380	1e-12	68.9	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	39.22	102	49	3	24	308	3571	3666	1e-12	68.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	40.20	102	48	3	24	308	1479	1574	1e-12	68.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	37.00	100	54	2	24	308	4749	4844	1e-12	68.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.32	133	69	3	6	335	4788	4918	2e-12	68.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	39.25	107	51	4	9	308	4025	4124	3e-12	67.4	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	37.25	102	51	3	24	308	3119	3214	4e-12	67.4	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	40.20	102	48	4	24	308	2607	2702	4e-12	67.0	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	38.00	100	53	2	24	308	2991	3086	6e-12	66.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.37	143	65	5	3	335	3816	3954	8e-12	66.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	35.29	102	53	3	24	308	3901	3996	2e-11	65.5	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	30.50	141	65	5	3	344	889	1023	2e-11	64.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	37.62	101	50	3	24	305	2017	2111	2e-11	64.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	27.97	143	67	4	3	335	3034	3172	3e-11	64.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	37.62	101	50	3	24	305	2212	2306	3e-11	64.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.97	145	67	5	3	341	4664	4804	5e-11	63.9	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	36.36	110	57	3	6	308	3433	3538	5e-11	63.5	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.77	131	62	3	6	308	4324	4454	6e-11	63.5	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	33.63	113	58	4	24	329	4413	4519	7e-11	63.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	36.63	101	51	3	24	305	1223	1317	8e-11	63.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	36.36	99	54	2	24	305	2735	2829	8e-11	63.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	36.00	100	55	2	24	308	846	941	9e-11	63.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	30.36	112	56	2	24	305	2340	2447	1e-10	62.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	35.00	100	56	2	24	308	1351	1446	2e-10	62.0	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	33.05	118	59	4	6	308	2460	2574	2e-10	61.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.37	143	65	5	3	335	3944	4082	4e-10	61.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.55	132	60	4	3	311	3162	3289	4e-10	60.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.66	145	62	5	3	335	1010	1148	5e-10	60.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	35.90	117	57	4	6	305	1074	1189	5e-10	60.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.97	145	67	5	3	341	4200	4340	5e-10	60.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	32.79	122	55	3	24	308	4467	4588	5e-10	60.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	30.07	143	64	5	6	335	3357	3496	8e-10	60.1	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.01	131	60	4	3	308	3614	3740	1e-09	59.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	34.91	106	57	2	3	305	963	1061	1e-09	59.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.79	132	62	4	24	335	1607	1734	1e-09	59.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.97	145	63	5	3	335	4072	4210	1e-09	59.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	30.00	140	66	5	3	332	1394	1531	2e-09	59.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	35.16	91	54	1	51	308	723	813	2e-09	59.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	26.57	143	71	4	6	335	2124	2265	2e-09	58.9	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.79	132	62	4	24	335	1277	1404	2e-09	58.5	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.23	130	59	4	3	305	1724	1849	3e-09	58.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	26.95	141	71	5	3	335	2650	2788	4e-09	57.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	27.97	143	67	5	3	335	2778	2916	5e-09	57.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	34.00	100	57	2	24	308	1681	1776	7e-09	57.4	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	31.93	119	55	3	24	314	3247	3361	9e-09	57.0	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.57	112	58	2	24	305	1809	1916	1e-08	56.6	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	32.76	116	57	3	24	308	4137	4252	2e-08	56.2	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.37	143	65	6	3	335	2906	3044	2e-08	55.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.79	132	62	4	24	335	3699	3826	2e-08	55.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.46	123	62	3	3	305	2060	2178	2e-08	55.8	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	25.87	143	72	4	6	335	1929	2070	4e-08	55.1	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	27.27	121	61	2	24	305	1863	1983	5e-08	54.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	31.34	134	56	6	24	335	4547	4674	5e-08	54.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	30.09	113	69	4	6	329	4856	4963	5e-08	54.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	29.55	132	52	5	24	335	2414	2532	5e-08	54.7	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
comp51827_c0_seq1	sp|Q09666|AHNK_HUMAN	28.46	130	60	4	3	305	2255	2380	6e-08	54.3	N/A	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	N/A
